trackingnum,borough,cd,commdist,type_br,type,priority,agencyacro,agency,need,request,explanation,sitename,address,streetsegment,streetcross1,streetcross2,supporters1,supporters2,parent_tracking_code,agyresponsecat,agyresponse,unique_id,geo_function
408202425C,4,08,408,C,street,25,DSNY,827,Street and lot cleaning,Provide new or increase number of sanitation trucks and other equipment,Purchase additional garbage trucks to ensure enough capacity for organics recycling.,,,"",,,Hillcrest Estates Civic Association,Fresh Meadows Homeowners Association,,3,"Although the Department of Sanitation supports this program, due to fiscal constraints the availability of funds is uncertain.",3271,GEOCODE FAILED
404202413C,4,04,404,C, ,13,DPR,846,After school programs,Reconstruct or upgrade a building in a park,"Frank O' Connor Playground's adjacency to Elmhurst Hospital puts this park in the heart of a very busy corridor that sees a substantial amount of foot traffic and park goers. However, issues are present with the comfort stations, overall lack of shrubbery, and upgrading of the outdated playground equipment.  More over, a park this close to a hospital should encourage healthy lifestyles. The current adult exercise equipment is minimal at best, and exercise within the park is often discouraging to park goers due to gang and homeless activity. Additionally, the basketball and handball courts see high usage, and would benefit from refurbishing.",Frank D O'Connor Playground;,"7901 Broadway, Queens, New York, NY","Broadway, Queens",,,,,,1,This project was funded in a prior fiscal year and the scope is now underway.,3016,GEOCODE FAILED
406202405C,4,06,406,C, ,05,HPD,806,Affordable housing programs,Other affordable housing programs requests,This request is to provide funding to encourage the development of more affordable housing with AMI bands aligned with CB6-based AMI,,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,3129,GEOCODE FAILED
404202413E,4,04,404,E,street,13,DOHMH,816,Transportation infrastructure,Animal and pest control requests including reducing rat and mosquito populations,"With mosquito-borne illnesses such as Zika, and West Nile within our communities, funding request would entail more staffing, and the continuation of public awareness campaigns to teach prevention in multiple languages. Our public plazas and abandoned properties are particularly vulnerable to rats. Rat academy has been essential in teaching the general public about the intricacies of pest mitigation. In the wake of the pandemic, there is a marked increase of rats seen throughout the district. Funds are being requested to supplement animal and pest control programs. Programs such as these are essential to the well being of communities especially when taking into consideration the illnesses associated with pests such as respiratory illnesses.",,,"",,,,,,3,DOHMH continues to increase the number of inspections performed annually.  We also continue to respond to all 311 complaints and readily participate in walk-through events requested by the community in areas of concern. We also work to control the spread of mosquitos in a variety of ways. Feel free to contact us for a pest control walk-through or to discuss specific mosquito concerns. Additional inspections would be contingent upon available resources.,3017,GEOCODE FAILED
404202414E,4,04,404,E, ,14,DOB,810,Zoning and land use,Address illegal conversions and uses of buildings,"Illegal conversions and work without a permit are unsafe practices that are plaguing our city, and have increased dramatically over the last 5 or so years.  In order to adequately and promptly address these issues, it is important that DOB receive funding to hire more code enforcement inspectors.",,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,3019,GEOCODE FAILED
404202415C,4,04,404,C, ,15,FDNY,57,Commercial district revitalization,Rehabilitate or renovate existing fire houses or EMS stations,"Requesting funding for complete analyzation, and renovation of firehouses within the district. Specifically, we are seeking funding for the renovation(s) of 

1. 287/Ladder 136/Battalion 46

2. Division 14/Engine 324.

3. Engine 289/ Ladder 138.",,,"",,,,,,8,"Repairs and upgrades to facilities must be scheduled carefully so overall (and local/neighborhood) emergency response operations are not negatively impacted. Additionally, these requests must be prioritized so more critical issues (e.g., health and safety or operational response issues) are addressed first. We repair all facilities as resources and priorities allow.",3020,GEOCODE FAILED
409202419E,4,09,409,E,general,19,NYPD,56,Transportation infrastructure,Other senior center program requests,Assign Additional School Crossing Guards. Assign additional school crossing guards in all schools in Community Board 9.,,,"",,,,,,3,"Based on the latest budget, the NYPD has a specific budgeted headcount.  The agency is working on filling vacancies in order to get to that headcount.",3352,GEOCODE FAILED
404202418E,4,04,404,E, ,18,SBS,801,Economic development programs,Conduct a commercial district needs assessment,"In the wake of the COVID-19 pandemic, small businesses were left with little help and knowledge as to what to do next. The obvious disconnect between our businesses and City agencies is a major cause for concern. In order to truly gain knowledge as to what these specific needs are, a needs assessment of CB4's most prolific commercial corridors is being requested.  Corridors include: Junction Blvd. from Corona Ave to Roosevelt Ave, Broadway from Baxter Avenue to Queens Blvd, and Roosevelt Avenue from 82nd Street to 103 Street (Corona Plaza).",,,"",,,,,,8,Further study by the agency of this request is needed.,3027,GEOCODE FAILED
404202419C,4,04,404,C,street,19,HPD,806,Sewage and flooding,Provide more housing for extremely low and low income households,"Community Board 4 has seen a very steady influx of new residents in the last few years, and will only continue to grow at a steady pace. The lack of affordable housing (both extremely low, low, and medium income) specifically in the Elmhurst area is encouraging ""shacking up"" in which large families are living out of single rooms and illegally converted basements.",,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,3028,GEOCODE FAILED
404202419E,4,04,404,E, ,19,HRA,96,Cultural facilities and resources,"Provide, expand, or enhance rental assistance programs/vouchers for permanent housing","Our community ranks high on rent burden with over 54% spending more than 1/3 of their income on housing. Additionally, with the proliferation of hotel shelters throughout the city, the need for services to get our residents out of shelters should be more heavily emphasized. Family shelters within the district currently house multi generational homeless families. The cost of housing these families in shelters/hotels far exceeds the cost of permanent housing. With the recent arrival of asylum seekers, and marked increase in the homeless throughout the borough, we will continue to support funding allocated to preventative programs, rental assistance, and those geared towards removing people from the system.",,,"",,,,,,9,Homelessness prevention is one of the Agency's priorities. Funds have been allocated in the budget for these services.,3029,GEOCODE FAILED
404202420C,4,04,404,C, ,20,NYPD,56,Substance misuse prevention programs,Provide surveillance (Argus) cameras,"Several sectors within the district are in need of added security measures, specifically the corners spanning the entire stretch of Roosevelt Avenue, the adjoining Junction Boulevard, and a high-crime section of 57th Avenue between 99th Street and Junction Blvd. / (41st Avenue)
41 Avenue between National Street and 104th Street. Requesting that surveillance cameras be funded .",,,"",,,,,,3,"Argus cameras are funded via allocations from elected officials for use within their districts.  Specific location recommendations should be provided to the local precinct commander for submission to the Information Technology Bureau once funding is allocated.  The NYPD will attempt to accommodate specific location requests whenever funding is provided, but reserves the right to place cameras as appropriate due to current crime trends and operational needs.",3030,GEOCODE FAILED
404202420E,4,04,404,E,street,20,DYCD,260,Transportation infrastructure,Other youth workforce development requests,"Our district would benefit greatly from having a youth center that would support our youth and their families. Educational programs, mentoring, homework help, extracurricular activities, and counseling are just some of the services that the youth within our district are in desperate need of. Seeking funding to obtain land, and construct a center within the confines of our district.",,,"",,,,,,9,DYCD has increased funding in this service area.,3031,GEOCODE FAILED
404202421E,4,04,404,E, ,21,DCLA,126,"Park, buildings, and access improvements",Support nonprofit cultural organizations,"Immigrants from Asia and Latin America have made Elmhurst the most diverse part of Queens. Following World War II, Elmhurst became one of the most ethnically diverse neighborhoods as immigrants arrived from new areas.Corona in the 1950s was predominately Italian and African American which began to change in the late 1990s, when immigrants from Latin America arrived. To support the past and ever growing history of our changing neighborhoods, CB4 is requesting funding to help support our cultural organizations tasked with documenting, preserving, and promoting awareness of the past and future development and growth.",,,"",,,,,,4,"The Department of Cultural Affairs recommends this project be brought to the attention of your local elected official, i.e. Borough President or City Council member.",3033,GEOCODE FAILED
404202422C,4,04,404,C, ,22,DOT,841,Transportation infrastructure,"Improve traffic and pedestrian safety, including traffic calming","Requesting that a traffic study be reconducted in the area of National & 102nd street between 43rd Ave to Corona Avenue. In the wake of the pandemic, we have seen an influx of trucks and delivery vehicles that affect line of sight and pedestrian safety. We have noted that since then, this area has seen substantial changes to traffic patterns potentially affecting vehicle egress, and emergency services. Additionally, there continues to be concern over speeding (specifically after hours) at the intersection of National Street and 102nd Street.",,Both 102 Street and National Street,Street and National Street,Corona Ave,Corona Ave,,,,8,Please contact the Borough Commissioner's office to discuss this request.,3034,GEOCODE FAILED
404202422E,4,04,404,E, ,22,DOB,810,Sewage and flooding,Assign additional building inspectors (including expanding training programs),"With the rapid increase in development,  it is crucial that DOB has enough building inspectors and staff to adequately ensure the safety of the over 1.1 million buildings in NYC.  No one said it better than former DOB Commissioner Rick Chandler, who in a 2018 interview said ?I think if we had ten times the resources?, we would still be just making a dent.?",,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,3035,GEOCODE FAILED
404202423C,4,04,404,C, ,23,DOT,841,Affordable housing programs,Reconstruct streets,"A complete reconstruction of this very heavily utilized corridor from Roosevelt Avenue to the Horace Harding Expressway should be looked into. Curb cuts, traffic mitigation plans, street resurfacing, bus pads, and curb replacements are all sorely needed to meet current and future demand. Junction Blvd is also a candidate for traffic signals that give a small head-start to buses when the light changes.",,Junction Boulevard,Junction Boulevard,Horace Harding Expwy S Svc Rd,Roosevelt Av,,,,7,Please contact the Borough Commissioner's office to discuss this request.,3036,GEOCODE FAILED
404202423E,4,04,404,E, ,23,DYCD,260,Garbage collection and recycling infrastructure,"Provide, expand, or enhance after school programs for elementary school students (grades K-5)","There is a tremendous need for after school programs for elementary school students grades k-5. At this early stage the students' lives, it is important to have enriching programs that are both educational and fun. Said programs will also help parents who have limited work hours, will help the children with social skills, and give students an advantage as they progress in their education.",,,"",,,,,,4,"Presently, there are a variety of agency-funded programs in the district for this target population.  Additional programs are contingent upon available funding and will be distributed through an RFP process.  Organizations are encouraged to apply.",3037,GEOCODE FAILED
404202424C,4,04,404,C, ,24,HPD,806,Transit Infrastructure,Provide more housing for medium income households,"Community Board 4 has seen a very steady influx of new residents in the last few years, and will only continue to grow at a steady pace. An emphasis throughout the district is being put into low income housing, however, financial burden does not pertain strictly to low income households. Requesting funding to survey, obtain land, and eventually build an affordable housing facility for medium range income within the district.",,,"",,,,,,2,This request includes more than one proposal.  Funding for part is recommended.,3038,GEOCODE FAILED
404202425C,4,04,404,C, ,25,DPR,846,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Middleburgh Triangle is a small triangle located at the intersection of Corona Avenue, 90th Street and 48th Avenue.  This triangle even though maintained, is a key historical location that would benefit from minor infrastructural upgrades. Benches for the bus stop, shrubbery, and historical signs emphasizing the neighborhood change from Middleburgh to Hastings to Newtown to present day Elmhurst should be emphasized as they showcase the rich history of our community.",Middleburgh Triangle;,90th Street 48th avenue and Corona Avenue,Street 48th avenue Corona Avenue,,,,,,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,3040,GEOCODE FAILED
404202426C,4,04,404,C, ,26,HPD,806,Services for the homeless,Other affordable housing programs requests,"While the Department of Housing Preservation and Development (HPD) provide loan programs the increased need for such programs can not be overlooked. Community Based Organizations (CBO's) such as Neighborhood Housing Services (NHS), do a great job in providing such services, but the demand for increased programs is exceedingly present specifically in low density (2-3 family) homes.",,,"",,,,,,10,This is not a budget request.,3042,GEOCODE FAILED
404202426E,4,04,404,E, ,26,HRA,96,After school programs,Improve the delivery of emergency food and shelter in case of a disaster,"Local Law Int 2057 - 2020 is a Local Law that requires relevant city agencies to develop a plan ensuring that students have access to school meals during emergency
situations. During the Covid-19 pandemic, it was clear that food insecurity within our communities is very much an issue. Many of our households depended very highly on food pantries to sustain them. Our students however were/ and still are in need of daily meals as they would normally receive during normal school hours. Funding should be allocated not only to address these issues during emergencies, but throughout the year as food insecurity is not temporary.",,,"",,,,,,10,"The Agency currently has in place emergency contracts to address the need of food delivery in case of a disaster. In addition, the federal government has provided pandemic EBT food stamps (SNAP) benefits to all NYC public school students regardless of income or immigration status.",3043,GEOCODE FAILED
404202427C,4,04,404,C,street,27,DOE,40,Sewage and flooding,Provide technology upgrade,"Students within our district strongly need tech upgrades such as whiteboards, laptops, calculators, tablets, etc especially with the current pandemic, and remote learning.  We are aware that the newer schools came with a lot of these tech upgrades already, so focus should be put towards the remaining pre-existing schools. Additionally, conversations should begin towards Windows based desktops vs the more sensitive, less compatible Mac based tablets.",,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,3044,GEOCODE FAILED
406202408E,4,06,406,E, ,08,DFTA,125,"Library facilities, equipment and programs (QL)",Other senior center program requests,"Career training and job placement for seniors and people with disabilities.
There is an ongoing need for career training and job placement among seniors and the disabled population. COVID19, has increased the necessity of this program as both groups sustained higher job loss than the rest of the population.",,,"",,,,,,2,The agency will try to accommodate this issue within existing resources.,3136,GEOCODE FAILED
404202438C,4,04,404,C, ,38,DPR,846,Sewage and flooding,"Other requests for park, building, or access improvements","Parks such as Horsebrook, Libra Triangle, Manuel de Dios among others all have historical significance to our communities. 
With the robust history behind CB4, more relevant signage should be systematically implemented to all current and future park designs specifically expressing any historically relevant facts as well as information on who the park is named after (when applicable).",,,"",,,,,,7,Further study by the agency of this request is needed.,3057,GEOCODE FAILED
404202427E,4,04,404,E, ,27,NYPD,56,Economic development programs,Hire additional traffic enforcement agents,"Throughout the pandemic, the  Roosevelt Avenue has seen a substantial change to its infrastructure and traffic patterns. I.e.: sidewalk structures/caf s, higher volume of delivery vehicles, increased vendors. Requesting an increase in personnel specifically geared towards the enforcement of double-parked vehicles along the stretch of Roosevelt Avenue from 72nd to 111th St. 
Additionally, we are requesting traffic enforcement agents at the following intersections:
- Junction Blvd/ Horace Harding Expwy 
- Broadway at Woodside Ave, and Baxter Ave 
- Broadway from 45th Ave to Whitney Ave 
- Roosevelt Ave. and 74, 75 and 104street

With the recent shortage in crossing guards, we are additionally requesting crossing guards be hired to cover intersections at all schools within the district.",,,"",,,,,,3,"Based on the latest budget, the NYPD has a specific budgeted headcount.  The agency is working on filling vacancies in order to get to that headcount.",3045,GEOCODE FAILED
405202418E,4,05,405,E, ,18,DOHMH,816,Traffic and traffic flow,Animal and pest control requests including reducing rat and mosquito populations,"HIRE ADDITIONAL PERSONNEL FOR PEST CONTROL TO REDUCE THE ENORMOUS RAT POPULATION IN OUR CITY
 
 The Borough of Queens has too few staff to adequately address the rodent infestation problem, which has increased with the growth of dump-out locations and vacant properties. A minimum of 4 additional inspectors and 4 additional staff to bait are needed for Queens.",,,"",,,Ridgewood Property Owners & Civic Assn.,Glendale Property Owners Assn.,,3,The agency will try to accommodate this issue within existing resources.,3100,GEOCODE FAILED
408202418E,4,08,408,E,site,18,DFTA,125,"Park, buildings, and access improvements",Other senior center program requests,Enhance funding for senior services. Funds are needed to meet the demands for services. (408202018E),,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,3261,GEOCODE FAILED
406202423E,4,06,406,E, ,23,QPL,39,Park maintenance and safety,Other expense budget request for QL,This request is to fund a temporary annex of the Rego Park Library to serve members of community that will be without a library while Rego Park (South) is being completed. This branch will then continue to serve the community on the north side of Queens Blvd.,,,"",,,,,,6,This request is not recommended for funding.,3166,GEOCODE FAILED
404202428C,4,04,404,C,site,28,NYPD,56,"Park, buildings, and access improvements","Provide a new NYPD facility, such as a new precinct house or sub-precinct","In the wake of the ongoing pandemic, the Queens Center and Queens Place Malls were both put on a watch list for potential looting/riots. Thankfully, these events did not materialize as predicted, but the fear of our community being overwhelmed due to lack of a satellite precinct was a clear concern. Despite department recommendation that this request not be funded in both our FY21, and FY22 years, we strongly feel that  a satellite precinct/ mobile unit be considered for the western side of Elmhurst, specifically the commercial corridors surrounding the Queens Place, and Queens Center malls.",,,"",,,,,,5,"Additional NYPD resources for this project are unavailable at this time due to funding constraints. However, the program will continue to operate within current funding levels.",3046,GEOCODE FAILED
404202442C,4,04,404,C,street,CS,DEP,826,Traffic and traffic flow,"Evaluate a public location or property for green infrastructure, e.g. rain gardens, stormwater greenstreets, green playgrounds",Reconstruction of streets in the surrounding area of 41st Avenue and Roosevelt Avenue,,41st Avenue,41st Avenue,Roosevelt Avenue,Roosevelt Avenue,,,,8,Further study by the agency of this request is needed.,3061,GEOCODE FAILED
404202428E,4,04,404,E,street,28,EDC,802,"Park, buildings, and access improvements",Other expense budget request for EDC,"In our Statement of Needs and Budget request for 2022, we asked for Banking Development District to address  district #4  underserved banking needs as 
as well as (BDD) Banking Development Districts as evident by the chart provided by CCC research.
The response from the state confirmed that the Corona Heights Banking Development District (BDD) includes a portion of Community District 4 in Queens, which is served by Queens Savings Bank -New York Community Bank. It was designated as underserve area in 2004. However, based upon recent banking data provided by the chart, a meeting should be arranged to determine if an additional BDD Bank is required for District4.",,,"",,,,,,8,Securing funding for this request is outside of EDC's jurisdiction; please contact the agency if you have any questions about the EDC budget process.,3047,GEOCODE FAILED
404202429C,4,04,404,C,street,29,DCLA,126,"Park, buildings, and access improvements",Other cultural facilities and resources requests,"The community of Elmhurst is rich in cultural history with many buildings dating back to the 1700?s.  One of the first religious buildings in Newtown was the old St. James Episcopal Church, and is Elmhurst?s oldest remaining structure and New York City landmark.  Other distinctive buildings in the community include Newtown HS, the Elks Lodge, and Dutch Reformed Church.  Not only does the community boast architecture from the 1800s, but it also houses ancient artifacts dating back from an early African - American cemetery.
We are requesting a museum or space in the Elmhurst community to showcase and preserve the past of a community with an abundance of historical significance for generations to come.",,,"",,,,,,7,"More information is required, specifically each request must be tied to one organization, and mention a specific project.",3048,GEOCODE FAILED
404202430E,4,04,404,E,site,30,DOHMH,816,"Park, buildings, and access improvements",Create or promote programs to de-stigmatize substance misuse and encourage treatment,The negative stigma of alcoholism and substance abuse is often confused with homelessness. Programs to destigmatize these illnesses must be more prominent within our communities. Literature and public workshops such as Al-Anon in multiple languages are required to educate our constituents into understanding that substance abuse is actually an illness and not a choice.,,,"",,,,,,3,"DOHMH funds a variety of services related to mental health, alcohol, drug abuse, and depression. We will review and assess the request for additional programming, which would be contingent upon available resources.",3051,GEOCODE FAILED
404202451C,4,04,404,C, ,CS,DPR,846,Environmental protection,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Funding is being requested to help with phase 2 of the adaptive renovation of the  reflecting pools at FMCP.,Flushing Meadows Corona Park,,"",,,,,,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,3070,GEOCODE FAILED
404202433C,4,04,404,C,site,33,DEP,826,"Park, buildings, and access improvements","Evaluate a public location or property for green infrastructure, e.g. rain gardens, stormwater greenstreets, green playgrounds","Requesting more staffing for the maintenance of the recently implemented Green Infrastructure initiative. Currently DEP staff is scheduled to maintain and clean these sites on a weekly basis, but a majority of our sites go for weeks, possibly months with no visits. Current staffing is simply not enough. Requesting funding to meet current and future demand.",,,"",,,,,,1,The agency will try to accommodate this issue within existing resources.,3052,GEOCODE FAILED
404202434C,4,04,404,C,site,34,HPD,806,"Park, buildings, and access improvements",Provide more housing for extremely low and low income households,"Tenant protection services are designed to preserve affordable housing by detecting and curtailing patterns and practices of landlord fraud. With the dramatic growth seen within CB4 our constituency is in need of extensive services that would help them to preserve their quality of life. Funding is being requested for expansion of these programs. Additionally, seeking conversations / explanations with HPD on how this request is being accommodated, and on any progress that has been made.",,,"",,,,,,1,The agency will try to accommodate this issue within existing resources.,3053,GEOCODE FAILED
404202435C,4,04,404,C, ,35,DSNY,827,NYPD staff and training resources,Provide new or increase number of sanitation trucks and other equipment,"We are requesting dual-bin trucks to improve our community?s quality of life. Elmhurst and Corona residents are unhappy with the apparent increase in curbside trash and the increased number of rats, health risks, safety hazards, and odor it causes. Issuing dual-bin trucks to our community will allow recyclables to be collected efficiently, especially with the start of the Curbside Composting program on October 3rd, and reduce the need for two trash pick-ups. This swift cleanup will solve the problems our residents face while saving NYC time and money. OMB supports this expenditure.",,,"",,,,,,1,The agency will try to accommodate this issue within existing resources.,3054,GEOCODE FAILED
404202436C,4,04,404,C,street,36,NYCTA,998,Environmental protection,Repair or upgrade subway stations or other transit infrastructure,"The district of QCB4 is home to 2 main transportation hubs (74 St .Roosevelt Avenue and Woodhaven Boulevard / Hoffman Drive)
Requesting that the systematic upgrade of bus shelters specifically with the implementation of digital bus signs continue through FY24.",,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,3055,GEOCODE FAILED
404202437C,4,04,404,C, ,37,DPR,846,Sewage and flooding,"Improve access to a park or amenity (i.e. playground, outdoor athletic field)","Requesting funding for the renovation of Answer Triangle (Roosevelt Avenue and Aske Street).

The center of this park along the corridor of Roosevelt has been sinking for some time now, and is currently below ground level causing flooding. Additionally, the sidewalk surrounding the park is heavily damaged. Funding can be allocated to include better shrubbery, seating, and elevation / improvements to the existing land, as this park can be included as part of a ""rest stop"" along Roosevelt Avenue for those touring the local neighborhood.",,,"",,,,,,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,3056,GEOCODE FAILED
404202439C,4,04,404,C, ,39,DOT,841,Building code and zoning enforcement,Repair or provide new street lights,"In recognition of the historical significance of the community, we are requesting that street lights serving Corona Avenue from Broadway to Sautell Ave. be replaced with ""Type M Luminaire & Pole"", which were first introduced in 1908 and designed to light wide street corners.",,,"",,,,,,4,"Standard street lights can only be replaced if the request is accompanied by funding to cover all equipment, construction, and additional electrical costs and a Maintenance Agreement is signed with a City Chartered organization willing and able to pay for the associated maintenance cost-i.e. Business Improvement District.",3058,GEOCODE FAILED
404202440C,4,04,404,C,site,40,DHS,71,Transportation infrastructure,Other capital budget request for DHS,"Currently, programs geared towards substance abuse only address immediate concerns, but long term programming does not exist for those without insurance. Requesting funding to further expand outreach of substance abuse programs for the undocumented and uninsured homeless population.",,,"",,,,,,7,The Agency continually works with Provider organizations to enhance service that are working successfully. Identifying best practices and expanding those services are ideal.,3059,GEOCODE FAILED
408202442C,4,08,408,C, ,CS,QPL,39,Educational programs,Provide more or better equipment to a library (QL),Funds are needed for computers and smart boards for the conference rooms. Pomonok Branch - 158-21 Jewel Avenue [State Senator Toby Stavisky will fund this technology upgrade].,,,"",,,Briarwood Community Association.,,,2,This request includes more than one proposal.  Funding for part is recommended.,3289,GEOCODE FAILED
404202441C,4,04,404,C, ,CS,DYCD,260,Street and lot cleaning,Other capital budget request for DYCD,"The low allocation of funds within CB4 is surprising considering SD 24 is currently the most overcrowded in the city. There is a need for after school programming for adolescents grades 6-8 who at this stage in their lives need more aggressive mentoring and help with school work especially with the current pandemic, and the effects that staying indoors for extended periods of time can have on our youth's psyche.",,,"",,,,,,9,DYCD has increased funding in this service area.,3060,GEOCODE FAILED
404202443C,4,04,404,C, ,CS,EDC,802,After school programs,"Build or expand affordable work or research lab spaces related to key industries, such as film/tv, advanced manufacturing, life science and healthcare, renewable energy and freight maritime","As businesses begin to reopen in the wake of COVID19, consideration should be put into small businesses that are the backbone of our local economy. Studies show that immigrants have a higher rate of business ownership than non-immigrants, with roughly one out of ten immigrant workers owning a business. While our community has made significant progress supporting street vendors (through community based organizations and local elected officials supporting positive legislation), we still lack a clear pipeline for street vendors to open a small business. Our community would benefit from funding allowing us to establish a small business incubator that provides mentorship, training, and education specifically regarding post epidemic safety protocols.",,,"",,,,,,8,Securing funding for this request is outside of EDC's jurisdiction; please contact the agency if you have any questions about the EDC budget process.,3062,GEOCODE FAILED
404202444C,4,04,404,C, ,CS,DPR,846,Environmental protection,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Requesting that an NYPD satellite station be installed within the confines of Flushing Meadows Corona Park to provide safety in this heavily used large park.
Some time last year, with generous funding from the Queens Borough President, makeshift trailers/ satellite stations was installed in the park. However, several concerns were raised specifically around the potential lack of sufficient staffing.",Flushing Meadows Corona Park,,"",,,,,,8,Further study by the agency of this request is needed.,3063,GEOCODE FAILED
406202406E,4,06,406,E, ,06,DOE,40,Schools and educational facilities,Other educational programs requests,"This request calls for the full expansion of a ""no cost"" 3K for All program in CB 6. The existing size of offering within district is insufficient. 
Ensure every child has access to early childhood education seats within their community district.",,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,3132,GEOCODE FAILED
404202446C,4,04,404,C,street,CS,DPR,846,Transportation infrastructure,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Some center island malls on 111th Street were completely renovated, but the remaining malls are in need of a complete overhaul. The curbs should be raised as part of the reconstruction so that illegal parking can be discouraged, and trees and shrubbery should be planted to better the quality of life for residents facing the malls. With the new school construction at the New York Hall of Science, traffic mitigation studies should be considered.",,111th St,111th St,Sautell Ave,Sautell Ave,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,3065,GEOCODE FAILED
406202409C,4,06,406,C, ,09,QPL,39,Sewage and flooding,"Create a new, or renovate or upgrade an existing public library (QL)","This request is to fund the renovation / upgrade of existing libraries addressing ADA accessibility concerns.
This includes making necessary repairs to make all CB6 Library entrances ADA Accessible - Rego Park Library (South), Forest Hills Library and North Forest Park Library.""",,,"",,,,,,1,This project was funded in a prior fiscal year and the scope is now underway.,3137,GEOCODE FAILED
404202447C,4,04,404,C, ,CS,DPR,846,Services for homebound older adults,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Clement C Moore Playground is a heavily utilized playground in the heart of Elmhurst now in its final phase of construction as the park design was obsolete.  Issues with smoking, gambling, gang activity, rundown bathroom facilities, homeless, and public intoxication drinking are all commonplace at this park. Measures to discourage such activities (i.e.: security cameras, benches, open areas) should be considered during the next design phase of the park. A renovation of the comfort station regardless of cost should be strongly looked into as a future capital project.",CC Moore Playground,,"",,,,,,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,3066,GEOCODE FAILED
405202412E,4,05,405,E, ,12,QPL,39,Transit Infrastructure,Extend library hours or expand and enhance library programs (QL),"PROVIDE SIX-DAY-A-WEEK SERVICE AT LOCAL LIBRARIES
 Increased educational demands on students, the fact that many families cannot afford the internet or up-to-date computers and increasing immigrant populations necessitate that the great majority of local/branch libraries be open 6-days a week. Having Libraries open on Saturdays is especially important to many residents!",,,"",,,Friends of the Ridgewood Library,Various Local Civic Organizations,,9,The Queens Public Library received funding to provide six-day service and will continue to request additional funding to open all libraries seven days per week.,3091,GEOCODE FAILED
404202448C,4,04,404,C,street,CS,DPR,846,Transportation infrastructure,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Residents of the community have been jogging along the outdoor perimeter of Newtown Field (92nd Street and 57 Avenue) for years as no official track exists within the area. However, a mere 3 blocks away, and sitting directly on the border of CB's 4, 5, and 6 is Hoffman Park, a heavily used 3 acre park. The existing underused softball field is a prime location for a proper jogging track. Ideally, funding can also be used to alleviate the prominent floor cracks that can be seen throughout the basketball, handball, and baseball field.  Implementation of a dog run would be a benefit to the local community as minimal space exists for this. Additionally, the area surrounding the handball courts is a dark, dangerous, and structurally unsafe (cracks, tree roots lifting floors, etc.)",Hoffman Park,,"",,,,,,1,This request includes more than one proposal.  Funding for part is recommended.,3067,GEOCODE FAILED
404202449C,4,04,404,C, ,CS,DPR,846,Garbage collection and recycling,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","This park, close to 2 acres services students from several local elementary schools, and eventually a new pre-k with a projected completion of 2021. During the summer months, the Kids in Motion program is at this location. As such, in order to enjoy the park to its full capacity, funding should be allocated to upgrade / repair the existing fitness equipment which is grossly underutilized and outdated.  Delineated sports areas would be a welcome addition, as they could potentially promote team based activities, and the potential for leagues, and tournaments.",Corona Golf Playground;,"46 Avenue, Queens, New York, NY","Avenue, Queens",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,3068,GEOCODE FAILED
406202404E,4,06,406,E,site,04,NYCTA,998,"Library facilities, equipment and programs (QL)",Other transit service requests,"Fund, expand and improve alternative transportation programs for the elderly and those with disabilities.
This request seeks continued and new funding to improve transportation programs for the elderly and those with disabilities, to include but not be limited to the following: DFTA My Ride; TLC's Accessible Dispatch; purchasing GPS software for Access-A-Ride",,,"",,,,,,10,More information is needed from the community board before making a funding decision. The community board should contact the agency.,3128,GEOCODE FAILED
